StationID,Date,Type,Value,Ignore1,Ignore2,Ignore3,Ignore4,Latitude,Longitude,Elevation,State,Station,Ignore5,Ignore6
US1AZCN0021,20151229,SNWD,13,,,N,,35.2560,-111.7404,2231.1,AZ,FLAGSTAFF 6.8 NW,,,
US1AZNV0007,20151229,SNWD,140,,,N,,34.1109,-109.9003,2193.0,AZ,PINETOP-LAKESIDE 4.0 ESE,,,
US1AZNV0010,20151229,SNWD,0,,,N,,34.2825,-110.1266,1906.8,AZ,SHOW LOW 6.5 WNW,,,
US1CAAM0010,20151229,SNWD,0,,,N,,38.3455,-120.7719,375.5,CA,JACKSON 0.4 S,,,
US1CAED0010,20151229,SNWD,0,,,N,,38.7387,-120.7846,612.6,CA,PLACERVILLE 0.8 NE,,,
US1CAED0020,20151229,SNWD,279,,,N,,38.8817,-120.0339,1927.9,CA,SOUTH LAKE TAHOE 4.9 SW,,,
US1CAHM0016,20151229,SNWD,0,,,N,,40.7563,-124.1661,53.6,CA,BAYVIEW 0.8 SE,,,
US1CAHM0060,20151229,SNWD,0,,,N,,41.0593,-124.1398,54.9,CA,TRINIDAD 0.2 NE,,,
US1CAIN0008,20151229,SNWD,28,,,N,,36.8061,-118.2014,1193.0,CA,INDEPENDENCE 0.2 NNW,,,
US1CAIN0009,20151229,SNWD,51,,,N,,37.1688,-118.2878,1210.7,CA,BIG PINE 0.5 ENE,,,
US1CAKN0001,20151229,SNWD,3,,,N,,35.6345,-117.9782,1316.4,CA,INYOKERN 9.4 WSW,,,
US1CAKN0005,20151229,SNWD,0,T,,N,,34.8266,-118.9547,1531.0,CA,FRAZIER PARK 0.6 WNW,,,
US1CAKN0013,20151229,SNWD,3,,,N,,35.7022,-118.1739,926.3,CA,ONYX 2.8 ENE,,,
US1CALA0001,20151229,SNWD,0,,,N,,34.1689,-118.2947,155.8,CA,GLENDALE 2.4 WSW,,,
US1CALA0011,20151229,SNWD,0,,,N,,33.8192,-118.3771,35.7,CA,REDONDO BEACH 2.6 S,,,
US1CALS0001,20151229,SNWD,13,,,N,,40.3676,-120.6739,1326.8,CA,SUSANVILLE 3.2 SSW,,,
US1CAMA0001,20151229,SNWD,203,,,N,,37.4415,-119.6316,1302.7,CA,OAKHURST 7.5 N,,,
US1CAMA0004,20151229,SNWD,13,,,N,,37.3996,-119.7381,865.6,CA,AHWAHNEE 2.5 NNW,,,
US1CAMN0001,20151229,SNWD,76,,,N,,38.0337,-119.1697,2162.3,CA,LEE VINING 5.9 NW,,,
US1CAMP0002,20151229,SNWD,13,,,N,,37.4613,-119.7417,899.8,CA,MARIPOSA 12.5 E,,,
US1CAOR0017,20151229,SNWD,0,,,N,,33.6239,-117.6275,310.3,CA,MISSION VIEJO 1.6 ENE,,,
US1CAPC0001,20151229,SNWD,1778,,,N,,39.3021,-120.3837,2099.2,CA,SODA SPRINGS 1.5 SSW,,,
US1CARV0002,20151229,SNWD,58,,,N,,33.7631,-116.7350,1927.9,CA,IDYLLWILD 1.8 NW,,,
US1CASK0003,20151229,SNWD,25,,,N,,41.4949,-122.3697,933.9,CA,WEED 5.4 N,,,
US1CASK0005,20151229,SNWD,13,,,N,,41.7326,-122.6495,820.5,CA,YREKA 0.9 WNW,,,
US1CASK0010,20151229,SNWD,127,,,N,,41.9633,-121.9230,1295.1,CA,DORRIS 0.2 SW,,,
US1CASM0007,20151229,SNWD,0,,,N,,37.4630,-122.4408,16.5,CA,HALF MOON BAY 0.5 SSW,,,
US1CASR0044,20151229,SNWD,0,,,N,,34.0542,-117.0383,846.1,CA,YUCAIPA 1.5 NNE,,,
US1CASS0001,20151229,SNWD,0,,,N,,37.7892,-120.7518,43.9,CA,KNIGHTS FERRY 5.2 WSW,,,
US1COAD0098,20151229,SNWD,25,,,N,,39.8985,-104.9911,1661.2,CO,NORTHGLENN 0.9 SW,,,
US1COAD0100,20151229,SNWD,51,,,N,,39.9223,-104.9554,1598.4,CO,THORNTON 2.1 N,,,
US1COAD0120,20151229,SNWD,178,,,N,,39.9844,-104.8134,1503.3,CO,BRIGHTON 2.1 NNW,,,
US1COAD0123,20151229,SNWD,64,,,N,,39.9714,-104.8683,1557.8,CO,BRIGHTON 4.0 WNW,,,
US1COAD0127,20151229,SNWD,38,,,N,,39.7517,-104.8543,1628.5,CO,AURORA 4.2 NNW,,,
US1COAD0153,20151229,SNWD,51,,,N,,39.8964,-105.0276,1647.1,CO,WESTMINSTER 1.6 NE,,,
US1COAD0162,20151229,SNWD,51,,,N,,39.8695,-105.0260,1687.1,CO,WESTMINSTER 1.6 ESE,,,
US1COAD0176,20151229,SNWD,38,,,N,,39.9030,-104.9854,1653.8,CO,NORTHGLENN 0.4 WSW,,,
US1COAM0010,20151229,SNWD,64,,,N,,37.6517,-105.5794,2404.9,CO,GREAT SAND DUNES 7.0 SSW,,,
US1COAM0021,20151229,SNWD,0,T,,N,,37.4795,-105.8548,2301.2,CO,ALAMOSA 1.2 NE,,,
US1COAM0031,20151229,SNWD,0,T,,N,,37.4842,-105.8738,2303.1,CO,ALAMOSA 1.1 N,,,
US1COAR0055,20151229,SNWD,64,,,N,,39.7237,-104.8568,1659.0,CO,AURORA 2.9 NW,,,
US1COAR0105,20151229,SNWD,51,,,N,,39.6792,-104.8809,1683.4,CO,DENVER 6.3 SSE,,,
US1COAR0179,20151229,SNWD,51,,,N,,39.6256,-104.7137,1795.6,CO,ARAPAHOE PARK 1.4 WSW,,,
US1COAR0207,20151229,SNWD,58,,,N,,39.6192,-104.7237,1803.8,CO,AURORA 7.3 SE,,,
US1COAR0214,20151229,SNWD,25,,,N,,39.5753,-104.9746,1716.6,CO,CENTENNIAL 2.0 SW,,,
US1COAR0249,20151229,SNWD,25,,,N,,39.6879,-104.7063,1717.9,CO,AURORA 5.7 E,,,
US1COAR0259,20151229,SNWD,102,,,N,,39.6490,-104.7758,1725.5,CO,AURORA 4.0 SSE,,,
US1COAU0026,20151229,SNWD,292,,,N,,37.2480,-107.0293,2255.8,CO,PAGOSA SPRINGS 1.6 SSW,,,
US1COBO0002,20151229,SNWD,89,,,N,,39.9350,-105.0845,1663.9,CO,BROOMFIELD 1.2 NE,,,
US1COBO0004,20151229,SNWD,102,,,N,,39.9941,-105.2573,1645.0,CO,BOULDER 2.9 S,,,
US1COBO0008,20151229,SNWD,114,,,N,,39.9925,-105.1057,1610.9,CO,LAFAYETTE 0.4 WSW,,,
US1COBO0014,20151229,SNWD,102,,,N,,39.9922,-105.2647,1667.9,CO,BOULDER 1.6 S,,,
US1COBO0022,20151229,SNWD,330,,,N,,40.1869,-105.5002,2577.1,CO,ALLENS PARK 1.5 ESE,,,
US1COBO0030,20151229,SNWD,76,,,N,,39.9915,-105.2403,1636.2,CO,BOULDER 1.9 SE,,,
US1COBO0042,20151229,SNWD,127,,,N,,39.9707,-105.2505,1681.9,CO,BOULDER 3.5 S,,,
US1COBO0057,20151229,SNWD,127,,,N,,39.9714,-105.3968,2401.8,CO,NEDERLAND 5.8 E,,,
US1COBO0072,20151229,SNWD,38,,,N,,40.0242,-105.2689,1638.9,CO,BOULDER 1.3 NW,,,
US1COBO0075,20151229,SNWD,64,,,N,,39.9860,-105.4848,2542.0,CO,NEDERLAND 2.61 NNE,,,
US1COBO0084,20151229,SNWD,102,,,N,,40.1951,-105.1323,1545.0,CO,LONGMONT 2.6 NW,,,
US1COBO0110,20151229,SNWD,51,,,N,,39.9771,-105.4253,2588.1,CO,NEDERLAND 4.8 ENE,,,
US1COBO0135,20151229,SNWD,127,,,N,,39.9873,-105.1703,1681.0,CO,BOULDER 5.4 ESE,,,
US1COBO0137,20151229,SNWD,102,,,N,,40.2494,-105.2646,1975.1,CO,LYONS 1.8 N,,,
US1COBO0143,20151229,SNWD,127,,,N,,40.2001,-105.1087,1538.9,CO,LONGMONT 2.1 N,,,
US1COBO0146,20151229,SNWD,89,,,N,,40.2263,-105.2667,1645.6,CO,LYONS 0.3 NNE,,,
US1COBO0150,20151229,SNWD,114,,,N,,40.1421,-105.1179,1523.1,CO,LONGMONT 2.0 SSW,,,
US1COBO0159,20151229,SNWD,102,,,N,,40.0395,-105.3275,2104.9,CO,BOULDER 3.6 WNW,,,
US1COBO0202,20151229,SNWD,292,,,N,,40.1103,-105.4391,2609.1,CO,WARD 4.6 NE,,,
US1COBO0220,20151229,SNWD,64,,,N,,40.0591,-105.1717,1606.9,CO,BOULDER 4.7 ENE,,,
US1COBO0222,20151229,SNWD,51,,,N,,40.0168,-105.1350,1610.9,CO,LAFAYETTE 2.5 NW,,,
US1COBO0248,20151229,SNWD,89,,,N,,40.1020,-105.1987,1573.1,CO,NIWOT 2.3 W,,,
US1COBO0266,20151229,SNWD,114,,,N,,39.9893,-105.1111,1609.6,CO,LAFAYETTE 0.8 WSW,,,
US1COBO0282,20151229,SNWD,51,,,N,,39.9646,-105.2362,1658.1,CO,BOULDER 4.4 S,,,
US1COBO0285,20151229,SNWD,76,,,N,,40.0414,-105.0729,1563.9,CO,ERIE 1.7 WNW,,,
US1COBO0288,20151229,SNWD,76,,,N,,40.0326,-105.2463,1617.0,CO,BOULDER 0.5 NNE,,,
US1COBO0290,20151229,SNWD,165,,,N,,40.0177,-105.1288,1604.5,CO,LAFAYETTE 2.3 NW,,,
US1COBO0292,20151229,SNWD,25,,,N,,40.1499,-105.1520,1531.0,CO,LONGMONT 2.7 SW,,,
US1COBO0322,20151229,SNWD,114,,,N,,39.9660,-105.5125,25.6,CO,NEDERLAND 0.4 WNW,,,
US1COBO0338,20151229,SNWD,76,,,N,,40.1043,-105.1605,1547.8,CO,NIWOT 0.7 NNW,,,
US1COBO0343,20151229,SNWD,91,,,N,,40.0839,-105.3689,2147.3,CO,JAMESTOWN 2.5 SSE,,,
US1COBO0352,20151229,SNWD,127,,,N,,40.1848,-105.0820,1542.3,CO,LONGMONT 1.8 ENE,,,
US1COBO0380,20151229,SNWD,38,,,N,,40.0239,-105.2893,1657.8,CO,BOULDER 2.0 W,,,
US1COBR0013,20151229,SNWD,165,,,N,,39.9390,-105.0826,1653.2,CO,BROOMFIELD 1.1 NE,,,
US1COBR0032,20151229,SNWD,127,,,N,,39.9881,-105.0453,1594.4,CO,BROOMFIELD 3.2 NNE,,,
US1COCC0001,20151229,SNWD,165,,,N,,39.6100,-105.4400,2468.0,CO,EVERGREEN 6.5 WSW,,,
US1COCC0002,20151229,SNWD,76,,,N,,39.6391,-105.4128,2374.1,CO,EVERGREEN 5 W,,,
US1COCC0005,20151229,SNWD,89,,,N,,39.7612,-105.6806,2646.9,CO,EMPIRE .2 E,,,
US1COCF0019,20151229,SNWD,102,,,N,,38.7301,-106.1328,2479.9,CO,NATHROP 3.3 WSW,,,
US1COCF0020,20151229,SNWD,267,,,N,,38.5432,-106.1924,2567.9,CO,MAYSVILLE 2.2 NE,,,
US1COCF0025,20151229,SNWD,152,,,N,,38.8579,-106.2085,2685.0,CO,BUENA VISTA 4.0 WNW,,,
US1COCF0041,20151229,SNWD,178,,,N,,38.6264,-106.1198,2500.3,CO,SALIDA 9.2 NW,,,
US1CODG0030,20151229,SNWD,51,,,N,,39.4254,-104.7043,1951.0,CO,FRANKTOWN 3.5 NE,,,
US1CODG0032,20151229,SNWD,38,,,N,,39.5531,-104.8954,1790.1,CO,LITTLETON 7.7 ESE,,,
US1CODG0033,20151229,SNWD,25,,,N,,39.5280,-104.9532,1820.9,CO,HIGHLANDS RANCH 2.0 SSE,,,
US1CODG0035,20151229,SNWD,25,,,N,,39.4093,-104.9120,1864.2,CO,CASTLE ROCK 3.9 NW,,,
US1CODG0062,20151229,SNWD,76,,,N,,39.3475,-104.8649,1933.0,CO,CASTLE ROCK 1.7 SSW,,,
US1CODG0074,20151229,SNWD,64,,,N,,39.5404,-104.9123,1805.9,CO,HIGHLANDS RANCH 3.2 ESE,,,
US1CODG0079,20151229,SNWD,89,,,N,,39.5025,-104.6967,1896.5,CO,PARKER 3.6 ESE,,,
US1CODG0159,20151229,SNWD,64,,,N,,39.4709,-105.0710,1748.6,CO,ROXBOROUGH PARK 2.0 N,,,
US1CODG0176,20151229,SNWD,114,,,N,,39.5462,-104.9655,1760.5,CO,HIGHLANDS RANCH 0.6 SSE,,,
US1CODG0218,20151229,SNWD,178,,,N,,39.4504,-104.7122,1938.5,CO,THE PINERY 1.2 ESE,,,
US1CODG0222,20151229,SNWD,25,,,N,,39.5339,-104.9564,1816.0,CO,HIGHLANDS RANCH 1.5 SSE,,,
US1CODL0016,20151229,SNWD,152,,,N,,38.8128,-107.8031,1748.0,CO,HOTCHKISS 4.7 W,,,
US1CODL0023,20151229,SNWD,89,,,N,,38.8319,-107.9670,1671.8,CO,ECKERT 1.1 SW,,,
US1CODN0016,20151229,SNWD,89,,,N,,39.6656,-104.9657,1645.9,CO,DENVER 5.2 S,,,
US1CODN0025,20151229,SNWD,38,,,N,,39.7264,-104.9489,1645.9,CO,DENVER 2.1 ESE,,,
US1CODN0030,20151229,SNWD,25,,,N,,39.6318,-105.0463,1680.1,CO,DENVER 8 SSW,,,
US1CODN0112,20151229,SNWD,13,,,N,,39.7310,-104.9635,1645.0,CO,DENVER 0.2 NNW (BOTANIC GARDEN,,,
US1CODN0141,20151229,SNWD,89,,,N,,39.6762,-105.0361,1659.9,CO,DENVER 5.3 SW,,,
US1CODN0175,20151229,SNWD,0,T,,N,,39.7282,-104.9544,1637.4,CO,DENVER 0.4 E,,,
US1CODN0190,20151229,SNWD,25,,,N,,39.7054,-104.9754,1616.7,CO,DENVER 1.7 SSW,,,
US1CODN0231,20151229,SNWD,64,,,N,,39.6917,-104.9725,1624.6,CO,DENVER 2.6 SSW,,,
US1CODN0235,20151229,SNWD,0,T,,N,,39.7330,-104.9857,1608.1,CO,DENVER 1.3 WNW,,,
US1COEG0006,20151229,SNWD,229,,,N,,39.3793,-106.9249,2183.6,CO,BASALT 5.8 E,,,
US1COEG0037,20151229,SNWD,241,,,N,,39.4034,-107.1066,1958.9,CO,CARBONDALE 5.7 E,,,
US1COEL0046,20151229,SNWD,0,T,,N,,39.4109,-104.2391,1869.0,CO,KIOWA 12.7 ENE,,,
US1COEL0063,20151229,SNWD,25,,,N,,39.4837,-104.5646,1875.1,CO,ELIZABETH 8.7 NNE,,,
US1COEL0071,20151229,SNWD,13,,,N,,39.5247,-104.5229,1857.5,CO,ELIZABETH 12.1 NNE,,,
US1COEP0012,20151229,SNWD,203,,,N,,39.0988,-104.7629,2265.0,CO,COLORADO SPRINGS 18.7 N,,,
US1COEP0024,20151229,SNWD,89,,,N,,38.9831,-104.6904,2208.3,CO,BLACK FOREST 2.1 SSE,,,
US1COEP0037,20151229,SNWD,0,,,N,,38.9052,-104.8491,2012.9,CO,COLORADO SPRINGS 5.7 WNW,,,
US1COEP0055,20151229,SNWD,102,,,N,,39.1125,-104.8590,2214.1,CO,MONUMENT 2.9 N,,,
US1COEP0058,20151229,SNWD,25,,,N,,38.7989,-104.8386,1847.1,CO,IVYWILD 0.6 E,,,
US1COEP0061,20151229,SNWD,25,,,N,,39.0471,-104.8302,2108.9,CO,GLENEAGLE 0.4 WNW,,,
US1COEP0064,20151229,SNWD,0,T,,N,,38.8497,-104.8537,1887.9,CO,COLORADO SPRINGS 2.1 NW,,,
US1COEP0066,20151229,SNWD,178,,,N,,39.0999,-104.6445,2292.1,CO,BLACK FOREST 3.9 NNE,,,
US1COEP0180,20151229,SNWD,0,,,N,,38.7761,-104.7294,1818.4,CO,COLORADO SPRINGS 6.6 SE,,,
US1COEP0291,20151229,SNWD,0,,,N,,38.7425,-104.7251,1748.0,CO,COLORADO SPRINGS 8.2 SE,,,
US1COEP0343,20151229,SNWD,0,T,,N,,38.9926,-104.5974,2199.1,CO,PEYTON 6.8 WSW,,,
US1COFM0009,20151229,SNWD,0,,,N,,38.4298,-105.2314,1644.1,CO,CANON CITY .84 SE,,,
US1COFM0048,20151229,SNWD,0,,,N,,38.4727,-105.2466,1687.1,CO,CANON CITY 0.7 NNW,,,
US1COGF0001,20151229,SNWD,229,,,N,,39.5413,-107.3269,1775.2,CO,GLENWOOD SPRINGS .64 S,,,
US1COGF0006,20151229,SNWD,114,,,N,,39.5483,-107.7873,1653.8,CO,RIFLE .96 NNW,,,
US1COGF0040,20151229,SNWD,231,,,N,,39.5664,-107.3505,1844.0,CO,GLENWOOD SPRINGS 1.7 NW,,,
US1COGF0049,20151229,SNWD,432,,,N,,39.4582,-107.1839,1987.6,CO,CARBONDALE 4.6 NNE,,,
US1COGF0060,20151229,SNWD,272,,,N,,39.5072,-107.3162,1812.6,CO,GLENWOOD SPRINGS 2.7 SSE,,,
US1COGL0017,20151229,SNWD,356,,,N,,39.9065,-105.5111,2681.3,CO,ROLLINSVILLE 1.1 SSW,,,
US1COGN0018,20151229,SNWD,991,,,N,,38.9603,-106.9908,2927.9,CO,CRESTED BUTTE 6.2 N,,,
US1COGN0047,20151229,SNWD,597,,,N,,38.2885,-107.5549,2546.9,CO,CIMARRON 11.2 S,,,
US1COGN0054,20151229,SNWD,457,,,N,,38.1513,-107.2982,2602.1,CO,LAKE CITY 8.5 N,,,
US1COGN0059,20151229,SNWD,686,,,N,,38.5985,-106.5313,2785.6,CO,PITKIN 1.1 SW,,,
US1COHF0014,20151229,SNWD,0,T,,N,,37.6491,-104.9336,2069.9,CO,WALSENBURG 8.7 W,,,
US1COJF0003,20151229,SNWD,152,,,N,,39.7005,-105.0985,1699.0,CO,DENVER 6.1 WSW,,,
US1COJF0051,20151229,SNWD,356,,,N,,39.5561,-105.3114,2436.9,CO,EVERGREEN 5.3 S,,,
US1COJF0061,20151229,SNWD,0,,,N,,39.5810,-105.0762,1702.0,CO,CHATFIELD DAM 2 NW,,,
US1COJF0072,20151229,SNWD,152,,,N,,39.8826,-105.1056,1656.9,CO,BROOMFIELD 2.3 SSW,,,
US1COJF0125,20151229,SNWD,38,,,N,,39.5677,-105.3080,2410.1,CO,EVERGREEN 4.6 S,,,
US1COJF0157,20151229,SNWD,64,,,N,,39.5795,-105.2789,2378.0,CO,EVERGREEN 4.2 SSE,,,
US1COJF0179,20151229,SNWD,102,,,N,,39.6835,-105.0758,1681.0,CO,LAKEWOOD 2.2 ESE,,,
US1COJF0212,20151229,SNWD,64,,,N,,39.6082,-105.1371,1783.1,CO,LITTLETON 6.4 W,,,
US1COJF0216,20151229,SNWD,25,,,N,,39.4619,-105.3646,2463.4,CO,PINE 3.4 NNW,,,
US1COJF0222,20151229,SNWD,25,,,N,,39.4722,-105.3913,2603.9,CO,CONIFER 5.7 SW,,,
US1COJF0240,20151229,SNWD,25,,,N,,39.8171,-105.1774,1706.6,CO,ARVADA 3.8 W,,,
US1COJF0267,20151229,SNWD,165,,,N,,39.7738,-105.3864,2660.9,CO,GOLDEN 9.4 WNW,,,
US1COJF0276,20151229,SNWD,330,,,N,,39.8143,-105.3945,2648.1,CO,ASPEN SPRINGS 4.9 ESE,,,
US1COJF0290,20151229,SNWD,25,,,N,,39.7564,-105.1468,1696.5,CO,WHEAT RIDGE 2.8 WSW,,,
US1COJF0332,20151229,SNWD,64,,,N,,39.5403,-105.0963,1692.9,CO,LITTLETON 5.7 SW,,,
US1COJF0333,20151229,SNWD,114,,,N,,39.6774,-105.1367,1751.1,CO,LAKEWOOD 1.7 SW,,,
US1COJF0343,20151229,SNWD,152,,,N,,39.7667,-105.1142,1656.9,CO,WHEAT RIDGE 0.9 WSW,,,
US1COJF0360,20151229,SNWD,140,,,N,,39.4276,-105.3074,2218.6,CO,PINE 1.3 ENE,,,
US1COJF0365,20151229,SNWD,127,,,N,,39.7197,-105.2472,2268.9,CO,GOLDEN 2.1 SW,,,
US1COJF0439,20151229,SNWD,89,,,N,,39.5869,-105.1655,1869.6,CO,KEN CARYL 3.0 WNW,,,
US1COLA0013,20151229,SNWD,71,,,N,,37.2120,-104.7258,2208.0,CO,BONCARBO 1.5 WSW,,,
US1COLA0033,20151229,SNWD,51,,,N,,37.3593,-104.7734,2200.0,CO,AGUILAR 7.2 WSW,,,
US1COLP0022,20151229,SNWD,292,,,N,,37.2736,-107.8749,2019.0,CO,DURANGO .35 E,,,
US1COLP0026,20151229,SNWD,203,,,N,,37.1112,-108.1445,2037.9,CO,HESPERUS 13.3 SSW,,,
US1COLP0035,20151229,SNWD,394,,,N,,37.3352,-107.6082,2499.4,CO,BAYFIELD 7.0 N,,,
US1COLP0061,20151229,SNWD,381,,,N,,37.2526,-107.9456,2264.7,CO,DURANGO 4.8 WSW,,,
US1COLP0066,20151229,SNWD,864,,,N,,37.5960,-107.8144,2665.5,CO,ROCKWOOD 6.7 N,,,
US1COLR0025,20151229,SNWD,178,,,N,,40.5287,-105.1194,1576.1,CO,FORT COLLINS 3.7 SW,,,
US1COLR0036,20151229,SNWD,76,,,N,,40.5872,-104.9630,1534.1,CO,TIMNATH 4.1 NNE,,,
US1COLR0050,20151229,SNWD,38,,,N,,40.2934,-105.2692,1712.1,CO,LYONS 4.8 N,,,
US1COLR0075,20151229,SNWD,152,,,N,,40.5538,-105.1289,1567.0,CO,FORT COLLINS 2.8 WSW,,,
US1COLR0104,20151229,SNWD,114,,,N,,40.4407,-105.0619,1519.1,CO,LOVELAND 3.0 NNE,,,
US1COLR0112,20151229,SNWD,152,,,N,,40.6079,-105.0422,1530.1,CO,FORT COLLINS 3.9 NNE,,,
US1COLR0240,20151229,SNWD,89,,,N,,40.4018,-105.4878,2368.9,CO,ESTES PARK 2.2 NE,,,
US1COLR0247,20151229,SNWD,102,,,N,,40.3302,-105.5221,2467.1,CO,ESTES PARK 3.3 SSW,,,
US1COLR0250,20151229,SNWD,51,,,N,,40.7510,-105.4096,2268.9,CO,LIVERMORE 10.5 WSW,,,
US1COLR0251,20151229,SNWD,165,,,N,,40.6263,-105.3912,2357.9,CO,STOVE PRAIRIE 2 WNW,,,
US1COLR0259,20151229,SNWD,165,,,N,,40.5857,-105.1317,1560.0,CO,FCL 2.5 W,,,
US1COLR0295,20151229,SNWD,135,,,N,,40.5541,-105.0700,1527.0,CO,FCL 1.7 SE,,,
US1COLR0311,20151229,SNWD,89,,,N,,40.5999,-105.1175,1547.2,CO,FCL 2.3 NW,,,
US1COLR0320,20151229,SNWD,140,,,N,,40.5570,-105.1086,1545.9,CO,FCL 1.7 SW,,,
US1COLR0329,20151229,SNWD,51,,,N,,40.8600,-105.5087,2414.9,CO,RED FEATHER 5.9 NE,,,
US1COLR0340,20151229,SNWD,64,,,N,,40.6068,-105.0634,1517.0,CO,FCL 2.55 NE,,,
US1COLR0391,20151229,SNWD,152,,,N,,40.5407,-105.1187,1567.0,CO,FCL 3.0 SW,,,
US1COLR0393,20151229,SNWD,191,,,N,,40.5653,-104.9811,1499.0,CO,FCL 5.6 E,,,
US1COLR0464,20151229,SNWD,124,,,N,,40.3385,-105.0895,1567.0,CO,LOV 5.0 S,,,
US1COLR0472,20151229,SNWD,89,,,N,,40.3650,-105.1006,1549.9,CO,LOV 3.4 S,,,
US1COLR0509,20151229,SNWD,102,,,N,,40.3926,-105.1587,1562.1,CO,LOV 4.0 W,,,
US1COLR0630,20151229,SNWD,102,,,N,,40.4765,-104.9685,1509.1,CO,FORT COLLINS 9.6 SE,,,
US1COLR0653,20151229,SNWD,114,,,N,,40.6051,-105.0638,1516.1,CO,FORT COLLINS 3.4 N,,,
US1COLR0662,20151229,SNWD,102,,,N,,40.3922,-105.0539,1513.0,CO,LOVELAND 2.0 SSE,,,
US1COLR0672,20151229,SNWD,0,T,,N,,40.8521,-105.3998,2048.9,CO,VIRGINIA DALE 7.2 SSW,,,
US1COLR0735,20151229,SNWD,102,,,N,,40.2797,-105.3636,2032.1,CO,LYONS 6.4 NW,,,
US1COLR0758,20151229,SNWD,89,,,N,,40.4955,-105.0567,1494.1,CO,FORT COLLINS 4.2 S,,,
US1COLR0761,20151229,SNWD,127,,,N,,40.6348,-105.1487,1567.9,CO,LAPORTE 1.4 NW,,,
US1COLR0767,20151229,SNWD,127,,,N,,40.3464,-105.5217,2420.1,CO,ESTES PARK 1.8 S,,,
US1COLR0836,20151229,SNWD,152,,,N,,40.6075,-105.0388,1526.7,CO,FORT COLLINS 3.92 NNE,,,
US1COLR0840,20151229,SNWD,152,,,N,,40.3885,-105.0480,1504.5,CO,LOVELAND 2.4 SSE,,,
US1COLR0845,20151229,SNWD,102,,,N,,40.4721,-104.9772,1508.5,CO,WINDSOR 3.8 WSW,,,
US1COLR0849,20151229,SNWD,178,,,N,,40.5690,-105.0700,1520.6,CO,FORT COLLINS 0.9 N,,,
US1COLR0854,20151229,SNWD,102,,,N,,40.4424,-105.1030,1551.7,CO,LOVELAND 2.3 NW,,,
