StationID,Date,Type,Value,Ignore1,Ignore2,Ignore3,Ignore4,Latitude,Longitude,Elevation,State,Station,Ignore5,Ignore6
US1CAKN0001,20151230,SNWD,0,,,N,,35.6345,-117.9782,1316.4,CA,INYOKERN 9.4 WSW,,,
US1CAKN0005,20151230,SNWD,0,,,N,,34.8266,-118.9547,1531.0,CA,FRAZIER PARK 0.6 WNW,,,
US1CALA0001,20151230,SNWD,0,,,N,,34.1689,-118.2947,155.8,CA,GLENDALE 2.4 WSW,,,
US1CALS0001,20151230,SNWD,25,,,N,,40.3676,-120.6739,1326.8,CA,SUSANVILLE 3.2 SSW,,,
US1CAMA0004,20151230,SNWD,13,,,N,,37.3996,-119.7381,865.6,CA,AHWAHNEE 2.5 NNW,,,
US1CAMN0001,20151230,SNWD,64,,,N,,38.0337,-119.1697,2162.3,CA,LEE VINING 5.9 NW,,,
US1CANV0035,20151230,SNWD,0,T,,N,,39.2382,-121.0463,848.0,CA,GRASS VALLEY 1.3 NNE,,,
US1CAOR0017,20151230,SNWD,0,,,N,,33.6239,-117.6275,310.3,CA,MISSION VIEJO 1.6 ENE,,,
US1CAPC0001,20151230,SNWD,1803,,,N,,39.3021,-120.3837,2099.2,CA,SODA SPRINGS 1.5 SSW,,,
US1CAPM0002,20151230,SNWD,127,,,N,,39.9191,-121.1001,1352.7,CA,MEADOW VALLEY 5.6 WSW,,,
US1CARV0002,20151230,SNWD,25,,,N,,33.7631,-116.7350,1927.9,CA,IDYLLWILD 1.8 NW,,,
US1CASH0006,20151230,SNWD,152,,,N,,40.5239,-121.7957,1208.2,CA,SHINGLETOWN 5.3 ENE,,,
US1CASK0003,20151230,SNWD,76,,,N,,41.4949,-122.3697,933.9,CA,WEED 5.4 N,,,
US1CASK0004,20151230,SNWD,114,,,N,,41.5108,-122.9234,904.0,CA,ETNA 3.9 NNW,,,
US1CASK0005,20151230,SNWD,76,,,N,,41.7326,-122.6495,820.5,CA,YREKA 0.9 WNW,,,
US1CASK0010,20151230,SNWD,178,,,N,,41.9633,-121.9230,1295.1,CA,DORRIS 0.2 SW,,,
US1CASM0007,20151230,SNWD,0,,,N,,37.4630,-122.4408,16.5,CA,HALF MOON BAY 0.5 SSW,,,
US1CASS0001,20151230,SNWD,0,,,N,,37.7892,-120.7518,43.9,CA,KNIGHTS FERRY 5.2 WSW,,,
US1CATY0003,20151230,SNWD,36,,,N,,40.6326,-122.9777,514.8,CA,DOUGLAS CITY 2.4 SW,,,
US1COAD0098,20151230,SNWD,25,,,N,,39.8985,-104.9911,1661.2,CO,NORTHGLENN 0.9 SW,,,
US1COAD0100,20151230,SNWD,64,,,N,,39.9223,-104.9554,1598.4,CO,THORNTON 2.1 N,,,
US1COAD0120,20151230,SNWD,178,,,N,,39.9844,-104.8134,1503.3,CO,BRIGHTON 2.1 NNW,,,
US1COAD0123,20151230,SNWD,64,,,N,,39.9714,-104.8683,1557.8,CO,BRIGHTON 4.0 WNW,,,
US1COAD0176,20151230,SNWD,38,,,N,,39.9030,-104.9854,1653.8,CO,NORTHGLENN 0.4 WSW,,,
US1COAM0010,20151230,SNWD,64,,,N,,37.6517,-105.5794,2404.9,CO,GREAT SAND DUNES 7.0 SSW,,,
US1COAM0021,20151230,SNWD,0,T,,N,,37.4795,-105.8548,2301.2,CO,ALAMOSA 1.2 NE,,,
US1COAM0031,20151230,SNWD,0,T,,N,,37.4842,-105.8738,2303.1,CO,ALAMOSA 1.1 N,,,
US1COAR0055,20151230,SNWD,51,,,N,,39.7237,-104.8568,1659.0,CO,AURORA 2.9 NW,,,
US1COAR0179,20151230,SNWD,51,,,N,,39.6256,-104.7137,1795.6,CO,ARAPAHOE PARK 1.4 WSW,,,
US1COAR0207,20151230,SNWD,56,,,N,,39.6192,-104.7237,1803.8,CO,AURORA 7.3 SE,,,
US1COAR0214,20151230,SNWD,25,,,N,,39.5753,-104.9746,1716.6,CO,CENTENNIAL 2.0 SW,,,
US1COAR0249,20151230,SNWD,25,,,N,,39.6879,-104.7063,1717.9,CO,AURORA 5.7 E,,,
US1COAR0259,20151230,SNWD,89,,,N,,39.6490,-104.7758,1725.5,CO,AURORA 4.0 SSE,,,
US1COAU0026,20151230,SNWD,305,,,N,,37.2480,-107.0293,2255.8,CO,PAGOSA SPRINGS 1.6 SSW,,,
US1COBO0002,20151230,SNWD,76,,,N,,39.9350,-105.0845,1663.9,CO,BROOMFIELD 1.2 NE,,,
US1COBO0004,20151230,SNWD,76,,,N,,39.9941,-105.2573,1645.0,CO,BOULDER 2.9 S,,,
US1COBO0008,20151230,SNWD,114,,,N,,39.9925,-105.1057,1610.9,CO,LAFAYETTE 0.4 WSW,,,
US1COBO0014,20151230,SNWD,76,,,N,,39.9922,-105.2647,1667.9,CO,BOULDER 1.6 S,,,
US1COBO0022,20151230,SNWD,330,,,N,,40.1869,-105.5002,2577.1,CO,ALLENS PARK 1.5 ESE,,,
US1COBO0030,20151230,SNWD,76,,,N,,39.9915,-105.2403,1636.2,CO,BOULDER 1.9 SE,,,
US1COBO0042,20151230,SNWD,127,,,N,,39.9707,-105.2505,1681.9,CO,BOULDER 3.5 S,,,
US1COBO0057,20151230,SNWD,127,,,N,,39.9714,-105.3968,2401.8,CO,NEDERLAND 5.8 E,,,
US1COBO0067,20151230,SNWD,102,,,N,,39.9996,-105.1794,1623.1,CO,BOULDER 4.7 E,,,
US1COBO0072,20151230,SNWD,38,,,N,,40.0242,-105.2689,1638.9,CO,BOULDER 1.3 NW,,,
US1COBO0075,20151230,SNWD,51,,,N,,39.9860,-105.4848,2542.0,CO,NEDERLAND 2.61 NNE,,,
US1COBO0110,20151230,SNWD,51,,,N,,39.9771,-105.4253,2588.1,CO,NEDERLAND 4.8 ENE,,,
US1COBO0135,20151230,SNWD,127,,,N,,39.9873,-105.1703,1681.0,CO,BOULDER 5.4 ESE,,,
US1COBO0137,20151230,SNWD,102,,,N,,40.2494,-105.2646,1975.1,CO,LYONS 1.8 N,,,
US1COBO0143,20151230,SNWD,127,,,N,,40.2001,-105.1087,1538.9,CO,LONGMONT 2.1 N,,,
US1COBO0146,20151230,SNWD,76,,,N,,40.2263,-105.2667,1645.6,CO,LYONS 0.3 NNE,,,
US1COBO0150,20151230,SNWD,114,,,N,,40.1421,-105.1179,1523.1,CO,LONGMONT 2.0 SSW,,,
US1COBO0159,20151230,SNWD,102,,,N,,40.0395,-105.3275,2104.9,CO,BOULDER 3.6 WNW,,,
US1COBO0202,20151230,SNWD,292,,,N,,40.1103,-105.4391,2609.1,CO,WARD 4.6 NE,,,
US1COBO0220,20151230,SNWD,51,,,N,,40.0591,-105.1717,1606.9,CO,BOULDER 4.7 ENE,,,
US1COBO0222,20151230,SNWD,51,,,N,,40.0168,-105.1350,1610.9,CO,LAFAYETTE 2.5 NW,,,
US1COBO0248,20151230,SNWD,76,,,N,,40.1020,-105.1987,1573.1,CO,NIWOT 2.3 W,,,
US1COBO0266,20151230,SNWD,114,,,N,,39.9893,-105.1111,1609.6,CO,LAFAYETTE 0.8 WSW,,,
US1COBO0282,20151230,SNWD,51,,,N,,39.9646,-105.2362,1658.1,CO,BOULDER 4.4 S,,,
US1COBO0285,20151230,SNWD,76,,,N,,40.0414,-105.0729,1563.9,CO,ERIE 1.7 WNW,,,
US1COBO0288,20151230,SNWD,51,,,N,,40.0326,-105.2463,1617.0,CO,BOULDER 0.5 NNE,,,
US1COBO0290,20151230,SNWD,165,,,N,,40.0177,-105.1288,1604.5,CO,LAFAYETTE 2.3 NW,,,
US1COBO0292,20151230,SNWD,25,,,N,,40.1499,-105.1520,1531.0,CO,LONGMONT 2.7 SW,,,
US1COBO0322,20151230,SNWD,114,,,N,,39.9660,-105.5125,25.6,CO,NEDERLAND 0.4 WNW,,,
US1COBO0338,20151230,SNWD,76,,,N,,40.1043,-105.1605,1547.8,CO,NIWOT 0.7 NNW,,,
US1COBO0343,20151230,SNWD,91,,,N,,40.0839,-105.3689,2147.3,CO,JAMESTOWN 2.5 SSE,,,
US1COBO0352,20151230,SNWD,127,,,N,,40.1848,-105.0820,1542.3,CO,LONGMONT 1.8 ENE,,,
US1COBO0380,20151230,SNWD,38,,,N,,40.0239,-105.2893,1657.8,CO,BOULDER 2.0 W,,,
US1COBR0013,20151230,SNWD,152,,,N,,39.9390,-105.0826,1653.2,CO,BROOMFIELD 1.1 NE,,,
US1COBR0032,20151230,SNWD,127,,,N,,39.9881,-105.0453,1594.4,CO,BROOMFIELD 3.2 NNE,,,
US1COCC0001,20151230,SNWD,152,,,N,,39.6100,-105.4400,2468.0,CO,EVERGREEN 6.5 WSW,,,
US1COCC0002,20151230,SNWD,64,,,N,,39.6391,-105.4128,2374.1,CO,EVERGREEN 5 W,,,
US1COCC0005,20151230,SNWD,89,,,N,,39.7612,-105.6806,2646.9,CO,EMPIRE .2 E,,,
US1COCF0019,20151230,SNWD,89,,,N,,38.7301,-106.1328,2479.9,CO,NATHROP 3.3 WSW,,,
US1COCF0020,20151230,SNWD,254,,,N,,38.5432,-106.1924,2567.9,CO,MAYSVILLE 2.2 NE,,,
US1COCF0025,20151230,SNWD,140,,,N,,38.8579,-106.2085,2685.0,CO,BUENA VISTA 4.0 WNW,,,
US1COCF0041,20151230,SNWD,178,,,N,,38.6264,-106.1198,2500.3,CO,SALIDA 9.2 NW,,,
US1CODG0030,20151230,SNWD,51,,,N,,39.4254,-104.7043,1951.0,CO,FRANKTOWN 3.5 NE,,,
US1CODG0032,20151230,SNWD,25,,,N,,39.5531,-104.8954,1790.1,CO,LITTLETON 7.7 ESE,,,
US1CODG0033,20151230,SNWD,25,,,N,,39.5280,-104.9532,1820.9,CO,HIGHLANDS RANCH 2.0 SSE,,,
US1CODG0035,20151230,SNWD,13,,,N,,39.4093,-104.9120,1864.2,CO,CASTLE ROCK 3.9 NW,,,
US1CODG0062,20151230,SNWD,76,,,N,,39.3475,-104.8649,1933.0,CO,CASTLE ROCK 1.7 SSW,,,
US1CODG0074,20151230,SNWD,51,,,N,,39.5404,-104.9123,1805.9,CO,HIGHLANDS RANCH 3.2 ESE,,,
US1CODG0079,20151230,SNWD,89,,,N,,39.5025,-104.6967,1896.5,CO,PARKER 3.6 ESE,,,
US1CODG0146,20151230,SNWD,76,,,N,,39.5194,-104.8013,1805.6,CO,PARKER 2.1 WNW,,,
US1CODG0159,20151230,SNWD,51,,,N,,39.4709,-105.0710,1748.6,CO,ROXBOROUGH PARK 2.0 N,,,
US1CODG0176,20151230,SNWD,76,,,N,,39.5462,-104.9655,1760.5,CO,HIGHLANDS RANCH 0.6 SSE,,,
US1CODG0178,20151230,SNWD,0,T,,N,,39.5219,-104.9918,1779.4,CO,HIGHLANDS RANCH 2.5 SSW,,,
US1CODG0222,20151230,SNWD,0,T,,N,,39.5339,-104.9564,1816.0,CO,HIGHLANDS RANCH 1.5 SSE,,,
US1CODL0001,20151230,SNWD,203,,,N,,38.8232,-107.7060,1759.9,CO,HOTCHKISS 1.8 NNE,,,
US1CODL0016,20151230,SNWD,178,,,N,,38.8128,-107.8031,1748.0,CO,HOTCHKISS 4.7 W,,,
US1CODL0022,20151230,SNWD,279,,,N,,38.8394,-107.7985,1923.6,CO,HOTCHKISS 5.1 WNW,,,
US1CODL0023,20151230,SNWD,114,,,N,,38.8319,-107.9670,1671.8,CO,ECKERT 1.1 SW,,,
US1CODL0030,20151230,SNWD,343,,,N,,38.8856,-107.6013,1817.2,CO,PAONIA 1.3 NNW,,,
US1CODL0042,20151230,SNWD,51,,,N,,38.7402,-108.0451,1547.8,CO,DELTA 1.6 ESE,,,
US1CODN0016,20151230,SNWD,76,,,N,,39.6656,-104.9657,1645.9,CO,DENVER 5.2 S,,,
US1CODN0025,20151230,SNWD,25,,,N,,39.7264,-104.9489,1645.9,CO,DENVER 2.1 ESE,,,
US1CODN0030,20151230,SNWD,25,,,N,,39.6318,-105.0463,1680.1,CO,DENVER 8 SSW,,,
US1CODN0112,20151230,SNWD,13,,,N,,39.7310,-104.9635,1645.0,CO,DENVER 0.2 NNW (BOTANIC GARDEN,,,
US1CODN0141,20151230,SNWD,89,,,N,,39.6762,-105.0361,1659.9,CO,DENVER 5.3 SW,,,
US1CODN0175,20151230,SNWD,0,T,,N,,39.7282,-104.9544,1637.4,CO,DENVER 0.4 E,,,
US1CODN0190,20151230,SNWD,25,,,N,,39.7054,-104.9754,1616.7,CO,DENVER 1.7 SSW,,,
US1CODN0231,20151230,SNWD,64,,,N,,39.6917,-104.9725,1624.6,CO,DENVER 2.6 SSW,,,
US1CODN0235,20151230,SNWD,0,T,,N,,39.7330,-104.9857,1608.1,CO,DENVER 1.3 WNW,,,
US1CODR0003,20151230,SNWD,432,,,N,,37.6009,-108.9951,2012.9,CO,DOVE CREEK 12.4 SSW,,,
US1COEG0006,20151230,SNWD,254,,,N,,39.3793,-106.9249,2183.6,CO,BASALT 5.8 E,,,
US1COEG0019,20151230,SNWD,279,,,N,,39.6480,-106.3258,2557.0,CO,VAIL 2.6 E,,,
US1COEG0037,20151230,SNWD,279,,,N,,39.4034,-107.1066,1958.9,CO,CARBONDALE 5.7 E,,,
US1COEL0046,20151230,SNWD,0,T,,N,,39.4109,-104.2391,1869.0,CO,KIOWA 12.7 ENE,,,
US1COEL0063,20151230,SNWD,25,,,N,,39.4837,-104.5646,1875.1,CO,ELIZABETH 8.7 NNE,,,
US1COEL0071,20151230,SNWD,13,,,N,,39.5247,-104.5229,1857.5,CO,ELIZABETH 12.1 NNE,,,
US1COEP0012,20151230,SNWD,203,,,N,,39.0988,-104.7629,2265.0,CO,COLORADO SPRINGS 18.7 N,,,
US1COEP0024,20151230,SNWD,76,,,N,,38.9831,-104.6904,2208.3,CO,BLACK FOREST 2.1 SSE,,,
US1COEP0037,20151230,SNWD,0,,,N,,38.9052,-104.8491,2012.9,CO,COLORADO SPRINGS 5.7 WNW,,,
US1COEP0055,20151230,SNWD,102,,,N,,39.1125,-104.8590,2214.1,CO,MONUMENT 2.9 N,,,
US1COEP0058,20151230,SNWD,25,,,N,,38.7989,-104.8386,1847.1,CO,IVYWILD 0.6 E,,,
US1COEP0061,20151230,SNWD,25,,,N,,39.0471,-104.8302,2108.9,CO,GLENEAGLE 0.4 WNW,,,
US1COEP0064,20151230,SNWD,0,T,,N,,38.8497,-104.8537,1887.9,CO,COLORADO SPRINGS 2.1 NW,,,
US1COEP0180,20151230,SNWD,0,,,N,,38.7761,-104.7294,1818.4,CO,COLORADO SPRINGS 6.6 SE,,,
US1COEP0188,20151230,SNWD,0,T,,N,,38.8611,-104.7612,1926.9,CO,COLORADO SPRINGS 3.7 ENE,,,
US1COEP0202,20151230,SNWD,0,,,N,,38.6911,-104.6817,1695.6,CO,FOUNTAIN 1.8 NNE,,,
US1COEP0264,20151230,SNWD,0,T,,N,,38.7835,-104.8293,1838.6,CO,COLORADO SPRINGS 3.5 S,,,
US1COEP0291,20151230,SNWD,0,,,N,,38.7425,-104.7251,1748.0,CO,COLORADO SPRINGS 8.2 SE,,,
US1COEP0343,20151230,SNWD,0,T,,N,,38.9926,-104.5974,2199.1,CO,PEYTON 6.8 WSW,,,
US1COFM0009,20151230,SNWD,0,,,N,,38.4298,-105.2314,1644.1,CO,CANON CITY .84 SE,,,
US1COFM0048,20151230,SNWD,0,,,N,,38.4727,-105.2466,1687.1,CO,CANON CITY 0.7 NNW,,,
US1COGF0001,20151230,SNWD,292,,,N,,39.5413,-107.3269,1775.2,CO,GLENWOOD SPRINGS .64 S,,,
US1COGF0006,20151230,SNWD,127,,,N,,39.5483,-107.7873,1653.8,CO,RIFLE .96 NNW,,,
US1COGF0033,20151230,SNWD,254,,,N,,39.4779,-107.2923,1811.1,CO,GLENWOOD SPRINGS 5.3 SSE,,,
US1COGF0040,20151230,SNWD,292,,,N,,39.5664,-107.3505,1844.0,CO,GLENWOOD SPRINGS 1.7 NW,,,
US1COGF0047,20151230,SNWD,279,,,N,,39.3978,-107.2227,1880.9,CO,CARBONDALE 0.5 W,,,
US1COGF0049,20151230,SNWD,445,,,N,,39.4582,-107.1839,1987.6,CO,CARBONDALE 4.6 NNE,,,
US1COGF0060,20151230,SNWD,269,,,N,,39.5072,-107.3162,1812.6,CO,GLENWOOD SPRINGS 2.7 SSE,,,
US1COGF0069,20151230,SNWD,254,,,N,,39.3983,-107.2194,1885.8,CO,CARBONDALE 0.3 WNW,,,
US1COGL0017,20151230,SNWD,356,,,N,,39.9065,-105.5111,2681.3,CO,ROLLINSVILLE 1.1 SSW,,,
US1COGN0018,20151230,SNWD,965,,,N,,38.9603,-106.9908,2927.9,CO,CRESTED BUTTE 6.2 N,,,
US1COGN0047,20151230,SNWD,610,,,N,,38.2885,-107.5549,2546.9,CO,CIMARRON 11.2 S,,,
US1COGN0054,20151230,SNWD,457,,,N,,38.1513,-107.2982,2602.1,CO,LAKE CITY 8.5 N,,,
US1COGN0059,20151230,SNWD,648,,,N,,38.5985,-106.5313,2785.6,CO,PITKIN 1.1 SW,,,
US1COGR0029,20151230,SNWD,584,,,N,,40.1165,-106.5171,2589.9,CO,KREMMLING 7.8 WNW,,,
US1COGR0039,20151230,SNWD,445,,,N,,40.1715,-105.8964,2542.9,CO,GRANBY 6.3 NNE,,,
US1COGR0052,20151230,SNWD,254,,,N,,40.0911,-106.2000,2405.8,CO,PARSHALL 3.0 NNW,,,
US1COHF0014,20151230,SNWD,0,T,,N,,37.6491,-104.9336,2069.9,CO,WALSENBURG 8.7 W,,,
US1COJF0003,20151230,SNWD,152,,,N,,39.7005,-105.0985,1699.0,CO,DENVER 6.1 WSW,,,
US1COJF0072,20151230,SNWD,152,,,N,,39.8826,-105.1056,1656.9,CO,BROOMFIELD 2.3 SSW,,,
US1COJF0125,20151230,SNWD,38,,,N,,39.5677,-105.3080,2410.1,CO,EVERGREEN 4.6 S,,,
US1COJF0157,20151230,SNWD,51,,,N,,39.5795,-105.2789,2378.0,CO,EVERGREEN 4.2 SSE,,,
US1COJF0179,20151230,SNWD,89,,,N,,39.6835,-105.0758,1681.0,CO,LAKEWOOD 2.2 ESE,,,
US1COJF0212,20151230,SNWD,64,,,N,,39.6082,-105.1371,1783.1,CO,LITTLETON 6.4 W,,,
US1COJF0216,20151230,SNWD,25,,,N,,39.4619,-105.3646,2463.4,CO,PINE 3.4 NNW,,,
US1COJF0222,20151230,SNWD,25,,,N,,39.4722,-105.3913,2603.9,CO,CONIFER 5.7 SW,,,
US1COJF0240,20151230,SNWD,13,,,N,,39.8171,-105.1774,1706.6,CO,ARVADA 3.8 W,,,
US1COJF0267,20151230,SNWD,152,,,N,,39.7738,-105.3864,2660.9,CO,GOLDEN 9.4 WNW,,,
US1COJF0276,20151230,SNWD,330,,,N,,39.8143,-105.3945,2648.1,CO,ASPEN SPRINGS 4.9 ESE,,,
US1COJF0325,20151230,SNWD,38,,,N,,39.8227,-105.1221,1650.5,CO,ARVADA 0.8 W,,,
US1COJF0332,20151230,SNWD,64,,,N,,39.5403,-105.0963,1692.9,CO,LITTLETON 5.7 SW,,,
US1COJF0333,20151230,SNWD,89,,,N,,39.6774,-105.1367,1751.1,CO,LAKEWOOD 1.7 SW,,,
US1COJF0343,20151230,SNWD,152,,,N,,39.7667,-105.1142,1656.9,CO,WHEAT RIDGE 0.9 WSW,,,
US1COJF0360,20151230,SNWD,140,,,N,,39.4276,-105.3074,2218.6,CO,PINE 1.3 ENE,,,
US1COJF0365,20151230,SNWD,127,,,N,,39.7197,-105.2472,2268.9,CO,GOLDEN 2.1 SW,,,
US1COJF0424,20151230,SNWD,38,,,N,,39.6516,-105.3357,2272.0,CO,EVERGREEN 1.3 NNE,,,
US1COLA0013,20151230,SNWD,64,,,N,,37.2120,-104.7258,2208.0,CO,BONCARBO 1.5 WSW,,,
US1COLA0033,20151230,SNWD,38,,,N,,37.3593,-104.7734,2200.0,CO,AGUILAR 7.2 WSW,,,
US1COLG0040,20151230,SNWD,127,,,N,,40.5147,-102.9906,1357.0,CO,STERLING 15 SE,,,
US1COLP0008,20151230,SNWD,330,,,N,,37.2584,-107.7930,2171.1,CO,DURANGO 4.9 ESE,,,
US1COLP0016,20151230,SNWD,279,,,N,,37.2141,-108.0916,2283.9,CO,HESPERUS 5.7 SW,,,
US1COLP0026,20151230,SNWD,216,,,N,,37.1112,-108.1445,2037.9,CO,HESPERUS 13.3 SSW,,,
US1COLP0035,20151230,SNWD,406,,,N,,37.3352,-107.6082,2499.4,CO,BAYFIELD 7.0 N,,,
US1COLP0041,20151230,SNWD,394,,,N,,37.2952,-107.8660,2009.9,CO,DURANGO 0.7 NNE,,,
US1COLP0061,20151230,SNWD,432,,,N,,37.2526,-107.9456,2264.7,CO,DURANGO 4.8 WSW,,,
US1COLP0066,20151230,SNWD,876,,,N,,37.5960,-107.8144,2665.5,CO,ROCKWOOD 6.7 N,,,
US1COLP0070,20151230,SNWD,229,,,N,,37.1377,-108.2289,2063.8,CO,REDMESA 4.2 NW,,,
US1COLP0074,20151230,SNWD,254,,,N,,37.0930,-108.1304,2020.2,CO,HESPERUS 14.1 SSW,,,
US1COLP0080,20151230,SNWD,254,,,N,,37.2462,-107.8766,1988.8,CO,DURANGO 2.8 S,,,
US1COLR0025,20151230,SNWD,165,,,N,,40.5287,-105.1194,1576.1,CO,FORT COLLINS 3.7 SW,,,
US1COLR0036,20151230,SNWD,76,,,N,,40.5872,-104.9630,1534.1,CO,TIMNATH 4.1 NNE,,,
US1COLR0050,20151230,SNWD,51,,,N,,40.2934,-105.2692,1712.1,CO,LYONS 4.8 N,,,
US1COLR0075,20151230,SNWD,152,,,N,,40.5538,-105.1289,1567.0,CO,FORT COLLINS 2.8 WSW,,,
US1COLR0104,20151230,SNWD,89,,,N,,40.4407,-105.0619,1519.1,CO,LOVELAND 3.0 NNE,,,
US1COLR0112,20151230,SNWD,140,,,N,,40.6079,-105.0422,1530.1,CO,FORT COLLINS 3.9 NNE,,,
US1COLR0240,20151230,SNWD,76,,,N,,40.4018,-105.4878,2368.9,CO,ESTES PARK 2.2 NE,,,
US1COLR0247,20151230,SNWD,97,,,N,,40.3302,-105.5221,2467.1,CO,ESTES PARK 3.3 SSW,,,
US1COLR0250,20151230,SNWD,51,,,N,,40.7510,-105.4096,2268.9,CO,LIVERMORE 10.5 WSW,,,
US1COLR0251,20151230,SNWD,165,,,N,,40.6263,-105.3912,2357.9,CO,STOVE PRAIRIE 2 WNW,,,
US1COLR0259,20151230,SNWD,165,,,N,,40.5857,-105.1317,1560.0,CO,FCL 2.5 W,,,
US1COLR0273,20151230,SNWD,114,,,N,,40.5998,-105.1151,1544.4,CO,FCL 2.2 NW,,,
US1COLR0295,20151230,SNWD,127,,,N,,40.5541,-105.0700,1527.0,CO,FCL 1.7 SE,,,
US1COLR0311,20151230,SNWD,89,,,N,,40.5999,-105.1175,1547.2,CO,FCL 2.3 NW,,,
US1COLR0320,20151230,SNWD,140,,,N,,40.5570,-105.1086,1545.9,CO,FCL 1.7 SW,,,
US1COLR0329,20151230,SNWD,51,,,N,,40.8600,-105.5087,2414.9,CO,RED FEATHER 5.9 NE,,,
